#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2026-03-09-11-08-43
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer	source
#types	time	string	addr	port	addr	port	string	string	bool	string	string
1773054523.091348	CjIwCjYPgJv7AhVS7	192.168.159.130	35192	172.236.180.15	123	bad_UDP_checksum	-	F	zeek	UDP
1773054546.601874	CaiwFZ23r7tsxhGkLh	192.168.159.130	42480	151.101.209.91	443	bad_TCP_checksum	-	F	zeek	TCP
1773054546.759346	CDAMg63sjCnpCWu0g7	192.168.159.130	36180	34.160.144.191	443	active_connection_reuse	-	F	zeek	TCP
1773054546.759354	CZLAT93j2lAqnfFCI8	192.168.159.130	36186	34.160.144.191	443	active_connection_reuse	-	F	zeek	TCP
1773054546.759354	CH0Uzu1IyiIQO03skg	192.168.159.130	36194	34.160.144.191	443	active_connection_reuse	-	F	zeek	TCP
1773054546.759357	COF0Sc4UYNpkj8zNA	192.168.159.130	50354	142.250.195.10	443	active_connection_reuse	-	F	zeek	TCP
1773054546.759358	CaiwFZ23r7tsxhGkLh	192.168.159.130	42480	151.101.209.91	443	active_connection_reuse	-	F	zeek	TCP
1773054546.760392	CGwdeQ2EbBntNRxVh2	192.168.159.130	42486	151.101.209.91	443	active_connection_reuse	-	F	zeek	TCP
1773054548.774717	C9Kkdb1EuizP7COvI1	192.168.159.130	42494	151.101.209.91	443	active_connection_reuse	-	F	zeek	TCP
1773054548.885832	CGTj8d3J7uaihNSPs6	192.168.159.130	47096	216.58.203.35	80	active_connection_reuse	-	F	zeek	TCP
1773054549.217760	Cl3kJt2CjrjoReMdB4	192.168.159.130	44254	34.107.243.93	443	active_connection_reuse	-	F	zeek	TCP
1773054549.483011	C1Pkcj32oQ0CcJHLtb	192.168.159.130	44256	34.107.243.93	443	active_connection_reuse	-	F	zeek	TCP
1773054559.099221	CbDOgs3fjit6QPOzzj	192.168.159.130	33652	34.107.221.82	80	active_connection_reuse	-	F	zeek	TCP
1773054559.099229	C97AYj1xwPvPAZXDyg	192.168.159.130	40688	151.101.209.91	443	active_connection_reuse	-	F	zeek	TCP
1773054559.099232	CwdJl2pYpbxpIbfc1	192.168.159.130	40700	151.101.209.91	443	active_connection_reuse	-	F	zeek	TCP
1773054559.099233	CMU3dA4eXCL821tr8b	192.168.159.130	40740	151.101.209.91	443	active_connection_reuse	-	F	zeek	TCP
1773054559.099234	CMFbGx2jMbWUl8YRrc	192.168.159.130	40724	151.101.209.91	443	active_connection_reuse	-	F	zeek	TCP
1773054559.099235	C07Pyq4puhHbZdaX9j	192.168.159.130	40716	151.101.209.91	443	active_connection_reuse	-	F	zeek	TCP
1773054567.499730	Ccl5AC144C6KQpOqba	192.168.159.130	32978	34.49.51.44	443	active_connection_reuse	-	F	zeek	TCP
1773054567.557536	C59JFY2anpYKz795Xi	192.168.159.130	41160	151.101.193.91	443	active_connection_reuse	-	F	zeek	TCP
1773054567.932877	CRSoZOHJQjlMa5sAb	192.168.159.130	46962	151.101.209.91	443	active_connection_reuse	-	F	zeek	TCP
1773054567.933437	CWyx521TKo2ii6spVk	192.168.159.130	57712	34.160.90.233	443	active_connection_reuse	-	F	zeek	TCP
1773054567.933442	CPd2Gk3wskgTM10mm3	192.168.159.130	57726	34.160.90.233	443	active_connection_reuse	-	F	zeek	TCP
1773054568.007570	Clt8mf2Z92AAQRMmb	192.168.159.130	46970	151.101.209.91	443	active_connection_reuse	-	F	zeek	TCP
1773054803.968870	CGWL94OZ6yu2aZche	192.168.159.130	37748	151.101.192.223	443	active_connection_reuse	-	F	zeek	TCP
1773054804.994879	Cn4Qqh3K0zBbqv65kf	192.168.159.130	32808	167.82.56.223	443	active_connection_reuse	-	F	zeek	TCP
1773054841.253511	C2igzH3Nd3ACd97unh	192.168.159.130	57436	151.101.209.91	443	active_connection_reuse	-	F	zeek	TCP
1773054841.273838	CQ5ioS3fVYvnZNxnZ8	192.168.159.130	57442	151.101.209.91	443	active_connection_reuse	-	F	zeek	TCP
1773055401.199882	Cw7N3s1hh4ixd7SHA3	192.168.159.130	55816	34.120.127.130	443	active_connection_reuse	-	F	zeek	TCP
1773055402.633783	C5AWnO1AT5AR2VtEF6	192.168.159.130	46070	34.95.113.255	443	active_connection_reuse	-	F	zeek	TCP
1773055402.633792	CE5woi3fxCzY2iZQe6	192.168.159.130	55820	34.120.127.130	443	active_connection_reuse	-	F	zeek	TCP
1773055409.232481	CRo44545D3OlZrOt5j	192.168.159.130	40916	34.95.113.255	443	active_connection_reuse	-	F	zeek	TCP
1773055409.277651	C65u6B33urB8mroEw2	192.168.159.130	40924	34.95.113.255	443	active_connection_reuse	-	F	zeek	TCP
1773055409.995935	CNWq7hEafU4RgIJP	192.168.159.130	40932	34.95.113.255	443	active_connection_reuse	-	F	zeek	TCP
1773055409.996615	CCuHjLsVHFkYTFNC4	192.168.159.130	40934	34.95.113.255	443	active_connection_reuse	-	F	zeek	TCP
1773055410.159353	CHueHY3bwzxSkb54Sc	192.168.159.130	40952	34.95.113.255	443	active_connection_reuse	-	F	zeek	TCP
1773055410.159361	CIp2Uf2WkyvzRyIIa5	192.168.159.130	40948	34.95.113.255	443	active_connection_reuse	-	F	zeek	TCP
1773055410.159364	CnZyw12eYl2u7VTdO4	192.168.159.130	40954	34.95.113.255	443	active_connection_reuse	-	F	zeek	TCP
1773055410.888945	Cdjfsx1YGlcLIh2DX4	192.168.159.130	42490	34.120.127.130	443	active_connection_reuse	-	F	zeek	TCP
1773055410.894108	CwVQiXfjAl6OOaJgb	192.168.159.130	42496	34.120.127.130	443	active_connection_reuse	-	F	zeek	TCP
1773055425.164453	Cx514YviiSaqqxrA7	192.168.159.130	51454	34.95.113.255	443	active_connection_reuse	-	F	zeek	TCP
1773055435.123002	CsT4yR1OKgTVxHqv2k	192.168.159.130	41882	34.95.113.255	443	active_connection_reuse	-	F	zeek	TCP
1773055441.530689	CVQNPW21woR6zPFFUb	192.168.159.130	41892	34.95.113.255	443	active_connection_reuse	-	F	zeek	TCP
1773055455.221873	CZR8jt2eAr26d8h7Dh	192.168.159.130	42110	34.95.113.255	443	active_connection_reuse	-	F	zeek	TCP
1773055465.185869	Cy9tIJ3Qo8DGyIuEi3	192.168.159.130	42584	34.95.113.255	443	active_connection_reuse	-	F	zeek	TCP
1773055475.165471	CtkbMa1OXdIXygURA5	192.168.159.130	34328	34.95.113.255	443	active_connection_reuse	-	F	zeek	TCP
1773055690.322723	CjqcDw1QTMV6hpMRGi	192.168.159.130	41242	34.95.113.255	443	active_connection_reuse	-	F	zeek	TCP
1773055692.274093	Cs7euD4mUs4C54nnTb	192.168.159.130	42912	34.120.127.130	443	active_connection_reuse	-	F	zeek	TCP
1773055708.849749	CNufhm3nh1qMP6B1M4	192.168.159.130	46698	34.95.113.255	443	active_connection_reuse	-	F	zeek	TCP
1773055754.995938	CfDkhN2GcKyv3b88Y5	192.168.159.130	51666	34.107.243.93	443	active_connection_reuse	-	F	zeek	TCP
1773055755.935425	COrZSG3ufrtOae3f4j	192.168.159.130	51688	34.107.243.93	443	active_connection_reuse	-	F	zeek	TCP
1773055756.525486	Ckg9502YsGBDCk12jk	192.168.159.130	51678	34.107.243.93	443	active_connection_reuse	-	F	zeek	TCP
