#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2026-02-25-12-18-48
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer	source
#types	time	string	addr	port	addr	port	string	string	bool	string	string
1772021928.971571	CoWC1avvVJOtp9CI1	192.168.159.130	53831	192.168.159.2	53	bad_UDP_checksum	-	F	zeek	UDP
1772021940.672173	C5ghoc2WYlRPgqEvAf	192.168.159.130	48798	169.254.169.254	80	bad_TCP_checksum	-	F	zeek	TCP
1772022417.810683	CYZZpg3xdXODCiUsJj	192.168.159.130	44486	34.160.144.191	443	active_connection_reuse	-	F	zeek	TCP
1772022417.812680	COqXGw48yNtHnesdtb	192.168.159.130	44500	34.160.144.191	443	active_connection_reuse	-	F	zeek	TCP
1772022417.812681	CeA4RE32a3madxoJYi	192.168.159.130	44476	34.160.144.191	443	active_connection_reuse	-	F	zeek	TCP
1772022417.812681	CWt0RJ1IZ6LWRzYzMh	192.168.159.130	50304	142.250.67.42	443	active_connection_reuse	-	F	zeek	TCP
1772022417.812681	CuhHhV6uXgtVhkoO8	192.168.159.130	43848	199.232.105.91	443	active_connection_reuse	-	F	zeek	TCP
1772022417.812681	CUQctu1OwhnDK88L2	192.168.159.130	43860	199.232.105.91	443	active_connection_reuse	-	F	zeek	TCP
1772022418.906062	ChAWqy4xhXxf5d2oka	192.168.159.130	37918	34.107.243.93	443	active_connection_reuse	-	F	zeek	TCP
1772022418.913607	C17diaY8scNvbxual	192.168.159.130	43864	199.232.105.91	443	active_connection_reuse	-	F	zeek	TCP
1772022419.109478	C1Q1cA1jhKYydJ4Lu8	192.168.159.130	35726	142.250.205.99	80	active_connection_reuse	-	F	zeek	TCP
1772022419.237289	Cv0Fkr33z0N24H7Oef	192.168.159.130	37922	34.107.243.93	443	active_connection_reuse	-	F	zeek	TCP
1772022419.687614	Co2C5Z1yEgoCsUoId7	192.168.159.130	55954	34.107.221.82	80	active_connection_reuse	-	F	zeek	TCP
1772022419.799425	Chngo84N1CTFnfBqP1	192.168.159.130	43868	199.232.105.91	443	active_connection_reuse	-	F	zeek	TCP
